year_film,year_ceremony,ceremony,category,name,film,win,cat__c
1927,1928,1,ACTOR,Richard Barthelmess,The Noose,False,ACTOR
1927,1928,1,ACTOR,Emil Jannings,The Last Command,True,ACTOR
1927,1928,1,ACTRESS,Louise Dresser,A Ship Comes In,False,ACTRESS
1927,1928,1,ACTRESS,Janet Gaynor,7th Heaven,True,ACTRESS
1927,1928,1,ACTRESS,Gloria Swanson,Sadie Thompson,False,ACTRESS
1927,1928,1,ART DIRECTION,Rochus Gliese,Sunrise,False,ART DIRECTION
1927,1928,1,ART DIRECTION,William Cameron Menzies,The Dove;,True,ART DIRECTION
1927,1928,1,ART DIRECTION,Harry Oliver,7th Heaven,False,ART DIRECTION
1927,1928,1,CINEMATOGRAPHY,George Barnes,The Devil Dancer;,False,CINEMATOGRAPHY
1927,1928,1,CINEMATOGRAPHY,Charles Rosher,Sunrise,True,CINEMATOGRAPHY
1927,1928,1,CINEMATOGRAPHY,Karl Struss,Sunrise,True,CINEMATOGRAPHY
1927,1928,1,DIRECTING (Comedy Picture),Lewis Milestone,Two Arabian Knights,True,DIRECTING
1927,1928,1,DIRECTING (Comedy Picture),Ted Wilde,Speedy,False,DIRECTING
1927,1928,1,DIRECTING (Dramatic Picture),Frank Borzage,7th Heaven,True,DIRECTING
1927,1928,1,DIRECTING (Dramatic Picture),Herbert Brenon,Sorrell and Son,False,DIRECTING
1927,1928,1,DIRECTING (Dramatic Picture),King Vidor,The Crowd,False,DIRECTING
1927,1928,1,OUTSTANDING PICTURE,The Caddo Company,The Racket,False,OUTSTANDING PICTURE
1927,1928,1,OUTSTANDING PICTURE,Fox,7th Heaven,False,OUTSTANDING PICTURE
1927,1928,1,OUTSTANDING PICTURE,Paramount Famous Lasky,Wings,True,OUTSTANDING PICTURE
1927,1928,1,WRITING (Adaptation),Alfred Cohn,The Jazz Singer,False,WRITING
1927,1928,1,WRITING (Adaptation),Anthony Coldeway,Glorious Betsy,False,WRITING
1927,1928,1,WRITING (Adaptation),Benjamin Glazer,7th Heaven,True,WRITING
1927,1928,1,WRITING (Original Story),Lajos Biro,The Last Command,False,WRITING
1927,1928,1,WRITING (Original Story),Ben Hecht,Underworld,True,WRITING
1927,1928,1,WRITING (Title Writing),Gerald Duffy,The Private Life of Helen of Troy,False,WRITING
1927,1928,1,WRITING (Title Writing),Joseph Farnham, ,True,WRITING
