year_ceremony,category,name,film,win
1987,ACTOR IN A LEADING ROLE,Bob Hoskins,Mona Lisa,False
1987,ACTOR IN A LEADING ROLE,Dexter Gordon,'Round Midnight,False
1987,ACTOR IN A LEADING ROLE,James Woods,Salvador,False
1987,ACTOR IN A LEADING ROLE,Paul Newman,The Color of Money,True
1987,ACTOR IN A LEADING ROLE,William Hurt,Children of a Lesser God,False
1987,ACTOR IN A SUPPORTING ROLE,Denholm Elliott,A Room with a View,False
1987,ACTOR IN A SUPPORTING ROLE,Dennis Hopper,Hoosiers,False
1987,ACTOR IN A SUPPORTING ROLE,Michael Caine,Hannah and Her Sisters,True
1987,ACTOR IN A SUPPORTING ROLE,Tom Berenger,Platoon,False
1987,ACTOR IN A SUPPORTING ROLE,Willem Dafoe,Platoon,False
1987,ACTRESS IN A LEADING ROLE,Jane Fonda,The Morning After,False
1987,ACTRESS IN A LEADING ROLE,Kathleen Turner,Peggy Sue Got Married,False
1987,ACTRESS IN A LEADING ROLE,Marlee Matlin,Children of a Lesser God,True
1987,ACTRESS IN A LEADING ROLE,Sigourney Weaver,Aliens,False
1987,ACTRESS IN A LEADING ROLE,Sissy Spacek,Crimes of the Heart,False
1987,ACTRESS IN A SUPPORTING ROLE,Dianne Wiest,Hannah and Her Sisters,True
1987,ACTRESS IN A SUPPORTING ROLE,Maggie Smith,A Room with a View,False
1987,ACTRESS IN A SUPPORTING ROLE,Mary Elizabeth Mastrantonio,The Color of Money,False
1987,ACTRESS IN A SUPPORTING ROLE,Piper Laurie,Children of a Lesser God,False
1987,ACTRESS IN A SUPPORTING ROLE,Tess Harper,Crimes of the Heart,False
1987,ART DIRECTION,Art Direction:  Boris Leven;  Set Decoration:  Karen A. O'Hara,The Color of Money,False
1987,ART DIRECTION,"Art Direction:  Gianni Quaranta, Brian Ackland-Snow;  Set Decoration:  Brian Savegar, Elio Altamura",A Room with a View,True
1987,ART DIRECTION,Art Direction:  Peter Lamont;  Set Decoration:  Crispian Sallis,Aliens,False
1987,ART DIRECTION,Art Direction:  Stuart Craig;  Set Decoration:  Jack Stephens,The Mission,False
1987,ART DIRECTION,Art Direction:  Stuart Wurtzel;  Set Decoration:  Carol Joffe,Hannah and Her Sisters,False
1987,BEST PICTURE,"Arnold Kopelson, Producer",Platoon,True
1987,BEST PICTURE,"Burt Sugarman and Patrick Palmer, Producers",Children of a Lesser God,False
1987,BEST PICTURE,"Fernando Ghia and David Puttnam, Producers",The Mission,False
1987,BEST PICTURE,"Ismail Merchant, Producer",A Room with a View,False
1987,BEST PICTURE,"Robert Greenhut, Producer",Hannah and Her Sisters,False
1987,CINEMATOGRAPHY,Chris Menges,The Mission,True
1987,CINEMATOGRAPHY,Don Peterman,Star Trek IV: The Voyage Home,False
1987,CINEMATOGRAPHY,Jordan Cronenweth,Peggy Sue Got Married,False
1987,CINEMATOGRAPHY,Robert Richardson,Platoon,False
1987,CINEMATOGRAPHY,Tony Pierce-Roberts,A Room with a View,False
1987,COSTUME DESIGN,"Anna Anni, Maurizio Millenotti",Otello,False
1987,COSTUME DESIGN,Anthony Powell,Pirates,False
1987,COSTUME DESIGN,Enrico Sabbatini,The Mission,False
1987,COSTUME DESIGN,"Jenny Beavan, John Bright",A Room with a View,True
1987,COSTUME DESIGN,Theadora Van Runkle,Peggy Sue Got Married,False
1987,DIRECTING,David Lynch,Blue Velvet,False
1987,DIRECTING,James Ivory,A Room with a View,False
1987,DIRECTING,Oliver Stone,Platoon,True
1987,DIRECTING,Roland Joffé,The Mission,False
1987,DIRECTING,Woody Allen,Hannah and Her Sisters,False
1987,DOCUMENTARY (Feature),"Brigitte Berman, Producer",Artie Shaw: Time Is All You've Got,True
1987,DOCUMENTARY (Feature),"David Bradbury, Producer",Chile: Hasta Cuando?,False
1987,DOCUMENTARY (Feature),"Joseph Feury and Milton Justice, Producers",Down and Out in America,True
1987,DOCUMENTARY (Feature),"Kirk Simon and Amram Nowak, Producers",Isaac in America: A Journey with Isaac Bashevis Singer,False
1987,DOCUMENTARY (Feature),"Sharon I. Sopher, Producer",Witness to Apartheid,False
1987,DOCUMENTARY (Short Subject),"Aaron D. Weisblatt, Producer",Sam,False
1987,DOCUMENTARY (Short Subject),"Alison Nigh-Strelich, Producer",Debonair Dancers,False
1987,DOCUMENTARY (Short Subject),"Sonya Friedman, Producer",The Masters of Disaster,False
1987,DOCUMENTARY (Short Subject),"Thomas L. Neff and Madeline Bell, Producers",Red Grooms: Sunflower in a Hothouse,False
1987,DOCUMENTARY (Short Subject),"Vivienne Verdon-Roe, Producer","Women--for America, for the World",True
1987,FILM EDITING,"Billy Weber, Chris Lebenzon",Top Gun,False
1987,FILM EDITING,Claire Simpson,Platoon,True
1987,FILM EDITING,Jim Clark,The Mission,False
1987,FILM EDITING,Ray Lovejoy,Aliens,False
1987,FILM EDITING,Susan E. Morse,Hannah and Her Sisters,False
1987,FOREIGN LANGUAGE FILM,Austria,'38',False
1987,FOREIGN LANGUAGE FILM,Canada,The Decline of the American Empire,False
1987,FOREIGN LANGUAGE FILM,Czechoslovakia,My Sweet Little Village,False
1987,FOREIGN LANGUAGE FILM,France,Betty Blue,False
1987,FOREIGN LANGUAGE FILM,The Netherlands,The Assault,True
1987,MAKEUP,"Chris Walas, Stephan Dupuis",The Fly,True
1987,MAKEUP,"Michael G. Westmore, Michèle Burke",The Clan of the Cave Bear,False
1987,MAKEUP,"Rob Bottin, Peter Robb-King",Legend,False
1987,MUSIC (Original Score),Ennio Morricone,The Mission,False
1987,MUSIC (Original Score),Herbie Hancock,'Round Midnight,True
1987,MUSIC (Original Score),James Horner,Aliens,False
1987,MUSIC (Original Score),Jerry Goldsmith,Hoosiers,False
1987,MUSIC (Original Score),Leonard Rosenman,Star Trek IV: The Voyage Home,False
1987,MUSIC (Original Song),Music by Alan Menken; Lyric by Howard Ashman,Little Shop of Horrors,False
1987,MUSIC (Original Song),Music by Giorgio Moroder; Lyric by Tom Whitlock,Top Gun,True
1987,MUSIC (Original Song),Music by Henry Mancini; Lyric by Leslie Bricusse,That's Life,False
1987,MUSIC (Original Song),Music by James Horner and Barry Mann; Lyric by Cynthia Weil,An American Tail,False
1987,MUSIC (Original Song),Music by Peter Cetera and David Foster; Lyric by Peter Cetera and Diane Nini,The Karate Kid Part II,False
1987,SHORT FILM (Animated),"Bob Stenhouse, Producer","The Frog, the Dog and the Devil",False
1987,SHORT FILM (Animated),"John Lasseter and William Reeves, Producers",Luxo Jr.,False
1987,SHORT FILM (Animated),"Linda Van Tulden and Willem Thijssen, Producers",A Greek Tragedy,True
1987,SHORT FILM (Live Action),"Chuck Workman, Producer",Precious Images,True
1987,SHORT FILM (Live Action),"Fredda Weiss, Producer",Love Struck,False
1987,SHORT FILM (Live Action),"Stefano Reali and Pino Quartullo, Producers",Exit,False
1987,SOUND,"Donald O. Mitchell, Kevin O'Connell, Rick Kline, William B. Kaplan",Top Gun,False
1987,SOUND,"Graham V. Hartstone, Nicolas Le Messurier, Michael A. Carter, Roy Charman",Aliens,False
1987,SOUND,"John K. Wilkinson, Richard Rogers, Charles 'Bud' Grenzbach,  Simon Kaye",Platoon,True
1987,SOUND,"Les Fresholtz, Dick Alexander, Vern Poore, William Nelson",Heartbreak Ridge,False
1987,SOUND,"Terry Porter, Dave Hudson, Mel Metcalfe, Gene S. Cantamessa",Star Trek IV: The Voyage Home,False
1987,SOUND EFFECTS EDITING,"Cecelia Hall, George Watters II",Top Gun,False
1987,SOUND EFFECTS EDITING,Don Sharpe,Aliens,True
1987,SOUND EFFECTS EDITING,Mark Mangini,Star Trek IV: The Voyage Home,False
1987,VISUAL EFFECTS,"Lyle Conway, Bran Ferren, Martin Gutteridge",Little Shop of Horrors,False
1987,VISUAL EFFECTS,"Richard Edlund, John Bruno, Garry Waller, William Neil",Poltergeist II: The Other Side,False
1987,VISUAL EFFECTS,"Robert Skotak, Stan Winston, John Richardson, Suzanne Benson",Aliens,True
1987,WRITING (Screenplay Based on Material from Another Medium),Beth Henley,Crimes of the Heart,False
1987,WRITING (Screenplay Based on Material from Another Medium),"Hesper Anderson, Mark Medoff",Children of a Lesser God,False
1987,WRITING (Screenplay Based on Material from Another Medium),"Raynold Gideon, Bruce A. Evans",Stand by Me,False
1987,WRITING (Screenplay Based on Material from Another Medium),Richard Price,The Color of Money,False
1987,WRITING (Screenplay Based on Material from Another Medium),Ruth Prawer Jhabvala,A Room with a View,True
1987,WRITING (Screenplay Written Directly for the Screen),Hanif Kureishi,My Beautiful Laundrette,False
1987,WRITING (Screenplay Written Directly for the Screen),Oliver Stone,Platoon,False
1987,WRITING (Screenplay Written Directly for the Screen),"Oliver Stone, Richard Boyle",Salvador,False
1987,WRITING (Screenplay Written Directly for the Screen),"Screenplay by Paul Hogan, Ken Shadie, John Cornell;  Story by Paul Hogan",'Crocodile' Dundee,False
1987,WRITING (Screenplay Written Directly for the Screen),Woody Allen,Hannah and Her Sisters,True
